Source [urn:wisebed:uzl1:0x2001], Text [Sread:212:0], Level [DEBUG], Time [2011-11-01T14:51:00.555+01:00]
Source [urn:wisebed:uzl1:0x2010], Text [NB;0x2014;0x2010], Level [DEBUG], Time [2011-11-01T14:51:00.386+01:00]
Source [urn:wisebed:uzl1:0x2038], Text [NB;0x2031;0x2038], Level [DEBUG], Time [2011-11-01T14:51:00.604+01:00]
Source [urn:wisebed:uzl1:0x2009], Text [NB;0x200c;0x2009], Level [DEBUG], Time [2011-11-01T14:51:00.742+01:00]
Source [urn:wisebed:uzl1:0x2005], Text [NB;0x2000;0x2005], Level [DEBUG], Time [2011-11-01T14:51:00.792+01:00]
Source [urn:wisebed:uzl1:0x2029], Text [NB;0x2028;0x2029], Level [DEBUG], Time [2011-11-01T14:51:01.017+01:00]
Source [urn:wisebed:uzl1:0x2029], Text [NBB;0x2028;0x2029], Level [DEBUG], Time [2011-11-01T14:51:01.017+01:00]
Source [urn:wisebed:uzl1:0x202d], Text [NB;0x2028;0x202d], Level [DEBUG], Time [2011-11-01T14:51:01.005+01:00]
Source [urn:wisebed:uzl1:0x202d], Text [NBB;0x2028;0x202d], Level [DEBUG], Time [2011-11-01T14:51:01.006+01:00]
Source [urn:wisebed:uzl1:0x202d], Text [NB;0x2034;0x202d], Level [DEBUG], Time [2011-11-01T14:51:01.006+01:00]
Source [urn:wisebed:uzl1:0x202d], Text [NB;0x2030;0x202d], Level [DEBUG], Time [2011-11-01T14:51:01.006+01:00]
Source [urn:wisebed:uzl1:0x2025], Text [NB;0x2024;0x2025], Level [DEBUG], Time [2011-11-01T14:51:01.020+01:00]
Source [urn:wisebed:uzl1:0x2039], Text [NB;0x2038;0x2039], Level [DEBUG], Time [2011-11-01T14:51:01.270+01:00]
Source [urn:wisebed:uzl1:0x2039], Text [NBB;0x2038;0x2039], Level [DEBUG], Time [2011-11-01T14:51:01.270+01:00]
Source [urn:wisebed:uzl1:0x2030], Text [NB;0x2038;0x2030], Level [DEBUG], Time [2011-11-01T14:51:01.422+01:00]
Source [urn:wisebed:uzl1:0x2030], Text [NBB;0x2038;0x2030], Level [DEBUG], Time [2011-11-01T14:51:01.422+01:00]
Source [urn:wisebed:uzl1:0x2021], Text [NB;0x2020;0x2021], Level [DEBUG], Time [2011-11-01T14:51:01.427+01:00]
Source [urn:wisebed:uzl1:0x2031], Text [NB;0x202d;0x2031], Level [DEBUG], Time [2011-11-01T14:51:01.463+01:00]
Source [urn:wisebed:uzl1:0x2031], Text [NBB;0x202d;0x2031], Level [DEBUG], Time [2011-11-01T14:51:01.463+01:00]
Source [urn:wisebed:uzl1:0x2031], Text [NB;0x2038;0x2031], Level [DEBUG], Time [2011-11-01T14:51:01.463+01:00]
Source [urn:wisebed:uzl1:0x2031], Text [NB;0x202c;0x2031], Level [DEBUG], Time [2011-11-01T14:51:01.464+01:00]
Source [urn:wisebed:uzl1:0x2031], Text [NBB;0x2038;0x2031], Level [DEBUG], Time [2011-11-01T14:51:01.464+01:00]
Source [urn:wisebed:uzl1:0x2034], Text [NB;0x2030;0x2034], Level [DEBUG], Time [2011-11-01T14:51:02.269+01:00]
Source [urn:wisebed:uzl1:0x2034], Text [NB;0x202d;0x2034], Level [DEBUG], Time [2011-11-01T14:51:02.270+01:00]
Source [urn:wisebed:uzl1:0x2034], Text [NBB;0x202d;0x2034], Level [DEBUG], Time [2011-11-01T14:51:02.270+01:00]
Source [urn:wisebed:uzl1:0x2034], Text [NB;0x2035;0x2034], Level [DEBUG], Time [2011-11-01T14:51:02.271+01:00]
Source [urn:wisebed:uzl1:0x2041], Text [NB;0x2044;0x2041], Level [DEBUG], Time [2011-11-01T14:51:01.599+01:00]
Source [urn:wisebed:uzl1:0x2038], Text [NB;0x2030;0x2038], Level [DEBUG], Time [2011-11-01T14:51:01.604+01:00]
Source [urn:wisebed:uzl1:0x2005], Text [NBB;0x2004;0x2005], Level [DEBUG], Time [2011-11-01T14:51:01.792+01:00]
Source [urn:wisebed:uzl1:0x203c], Text [NB;0x203d;0x203c], Level [DEBUG], Time [2011-11-01T14:50:57.075+01:00]
Source [urn:wisebed:uzl1:0x2028], Text [NBB;0x202d;0x2028], Level [DEBUG], Time [2011-11-01T14:51:01.908+01:00]
Source [urn:wisebed:uzl1:0x2019], Text [NB;0x2020;0x2019], Level [DEBUG], Time [2011-11-01T14:51:01.381+01:00]
Source [urn:wisebed:uzl1:0x2004], Text [NB;0x2005;0x2004], Level [DEBUG], Time [2011-11-01T14:51:01.933+01:00]
Source [urn:wisebed:uzl1:0x2004], Text [NBB;0x2005;0x2004], Level [DEBUG], Time [2011-11-01T14:51:01.933+01:00]
Source [urn:wisebed:uzl1:0x2029], Text [NB;0x202d;0x2029], Level [DEBUG], Time [2011-11-01T14:51:02.018+01:00]
Source [urn:wisebed:uzl1:0x2029], Text [NBB;0x202d;0x2029], Level [DEBUG], Time [2011-11-01T14:51:02.018+01:00]
Source [urn:wisebed:uzl1:0x202d], Text [NB;0x2035;0x202d], Level [DEBUG], Time [2011-11-01T14:51:02.007+01:00]
Source [urn:wisebed:uzl1:0x2020], Text [NB;0x2019;0x2020], Level [DEBUG], Time [2011-11-01T14:51:02.297+01:00]
Source [urn:wisebed:uzl1:0x2020], Text [NBB;0x2019;0x2020], Level [DEBUG], Time [2011-11-01T14:51:02.297+01:00]
Source [urn:wisebed:uzl1:0x2024], Text [NB;0x2025;0x2024], Level [DEBUG], Time [2011-11-01T14:51:02.323+01:00]
Source [urn:wisebed:uzl1:0x2024], Text [NBB;0x2025;0x2024], Level [DEBUG], Time [2011-11-01T14:51:02.324+01:00]
Source [urn:wisebed:uzl1:0x200c], Text [NB;0x2009;0x200c], Level [DEBUG], Time [2011-11-01T14:51:02.341+01:00]
Source [urn:wisebed:uzl1:0x200c], Text [NBB;0x2009;0x200c], Level [DEBUG], Time [2011-11-01T14:51:02.342+01:00]
Source [urn:wisebed:uzl1:0x2045], Text [NB;0x2044;0x2045], Level [DEBUG], Time [2011-11-01T14:51:02.503+01:00]
Source [urn:wisebed:uzl1:0x2045], Text [NBB;0x2044;0x2045], Level [DEBUG], Time [2011-11-01T14:51:02.503+01:00]
Source [urn:wisebed:uzl1:0x2044], Text [NBB;0x2045;0x2044], Level [DEBUG], Time [2011-11-01T14:51:02.602+01:00]
Source [urn:wisebed:uzl1:0x2031], Text [NB;0x2039;0x2031], Level [DEBUG], Time [2011-11-01T14:51:02.465+01:00]
Source [urn:wisebed:uzl1:0x2031], Text [NBB;0x2039;0x2031], Level [DEBUG], Time [2011-11-01T14:51:02.466+01:00]
Source [urn:wisebed:uzl1:0x2000], Text [NB;0x2005;0x2000], Level [DEBUG], Time [2011-11-01T14:51:02.488+01:00]
Source [urn:wisebed:uzl1:0x2000], Text [NBB;0x2005;0x2000], Level [DEBUG], Time [2011-11-01T14:51:02.488+01:00]
Source [urn:wisebed:uzl1:0x2010], Text [NBB;0x2014;0x2010], Level [DEBUG], Time [2011-11-01T14:51:02.387+01:00]
Source [urn:wisebed:uzl1:0x2041], Text [NB;0x2040;0x2041], Level [DEBUG], Time [2011-11-01T14:51:02.600+01:00]
Source [urn:wisebed:uzl1:0x2038], Text [NBB;0x2039;0x2038], Level [DEBUG], Time [2011-11-01T14:51:02.605+01:00]
