Source [urn:wisebed:ctitestbed:0x6699], Text [NEW_NB;0x997b;Time;30; Node ;0x6699; has ;3; neighbors;stability;6], Level[DEBUG], Time[2011-03-02T12:48:10.106+02:00]
Source [urn:wisebed:ctitestbed:0x6699], Text [NEW_NB_BIDI;0x997b;Time;30; Node ;0x6699; has ;3; neighbors;stability;6], Level[DEBUG], Time[2011-03-02T12:48:10.109+02:00]
Source [urn:wisebed:ctitestbed:0x997b], Text [NEW_NB_BIDI;0x6699;Time;30; Node ;0x997b; has ;5; neighbors;stability;6], Level[DEBUG], Time[2011-03-02T12:48:10.130+02:00]
Source [urn:wisebed:ctitestbed:0x1b85], Text [NEW_NB;0x153d;Time;42; Node ;0x1b85; has ;2; neighbors;stability;0], Level[DEBUG], Time[2011-03-02T12:48:22.082+02:00]
Source [urn:wisebed:ctitestbed:0x1b85], Text [NEW_NB_BIDI;0x153d;Time;42; Node ;0x1b85; has ;2; neighbors;stability;0], Level[DEBUG], Time[2011-03-02T12:48:22.084+02:00]
Source [urn:wisebed:ctitestbed:0x153d], Text [NEW_NB_BIDI;0x1b85;Time;45; Node ;0x153d; has ;5; neighbors;stability;4], Level[DEBUG], Time[2011-03-02T12:48:25.082+02:00]
Source [urn:wisebed:ctitestbed:0x057b], Text [NEW_NB;0x1cd0;Time;57; Node ;0x57b; has ;4; neighbors;stability;5], Level[DEBUG], Time[2011-03-02T12:48:37.085+02:00]
Source [urn:wisebed:ctitestbed:0x1cd0], Text [NEW_NB;0x57b;Time;57; Node ;0x1cd0; has ;5; neighbors;stability;7], Level[DEBUG], Time[2011-03-02T12:48:35.617+02:00]
Source [urn:wisebed:ctitestbed:0x1cd0], Text [NEW_NB_BIDI;0x57b;Time;57; Node ;0x1cd0; has ;5; neighbors;stability;7], Level[DEBUG], Time[2011-03-02T12:48:35.618+02:00]
Source [urn:wisebed:ctitestbed:0x057b], Text [NEW_NB_BIDI;0x1cd0;Time;60; Node ;0x57b; has ;4; neighbors;stability;5], Level[DEBUG], Time[2011-03-02T12:48:40.086+02:00]
Source [urn:wisebed:ctitestbed:0x1b85], Text [DROPPED_NB;0x153d;Time;66; Node ;0x1b85; has ;2; neighbors;stability;0], Level[DEBUG], Time[2011-03-02T12:48:46.074+02:00]
Source [urn:wisebed:ctitestbed:0x153d], Text [LOST_NB_BIDI;0x1b85;Time;66; Node ;0x153d; has ;5; neighbors;stability;3], Level[DEBUG], Time[2011-03-02T12:48:46.088+02:00]
Source [urn:wisebed:ctitestbed:0x1b85], Text [NEW_NB;0x153d;Time;69; Node ;0x1b85; has ;2; neighbors;stability;0], Level[DEBUG], Time[2011-03-02T12:48:49.082+02:00]
Source [urn:wisebed:ctitestbed:0x1b85], Text [NEW_NB_BIDI;0x153d;Time;69; Node ;0x1b85; has ;2; neighbors;stability;0], Level[DEBUG], Time[2011-03-02T12:48:49.085+02:00]
Source [urn:wisebed:ctitestbed:0x1c98], Text [DROPPED_NB;0xc9b;Time;69; Node ;0x1c98; has ;3; neighbors;stability;12], Level[DEBUG], Time[2011-03-02T12:48:49.110+02:00]
Source [urn:wisebed:ctitestbed:0x0c9b], Text [LOST_NB_BIDI;0x1c98;Time;69; Node ;0xc9b; has ;5; neighbors;stability;8], Level[DEBUG], Time[2011-03-02T12:48:47.613+02:00]
Source [urn:wisebed:ctitestbed:0x14e7], Text [NEW_NB;0xddba;Time;75; Node ;0x14e7; has ;3; neighbors;stability;11], Level[DEBUG], Time[2011-03-02T12:48:55.081+02:00]
Source [urn:wisebed:ctitestbed:0x14e7], Text [NEW_NB_BIDI;0xddba;Time;75; Node ;0x14e7; has ;3; neighbors;stability;11], Level[DEBUG], Time[2011-03-02T12:48:55.081+02:00]
Source [urn:wisebed:ctitestbed:0x153d], Text [NEW_NB_BIDI;0x1b85;Time;75; Node ;0x153d; has ;5; neighbors;stability;5], Level[DEBUG], Time[2011-03-02T12:48:55.095+02:00]
Source [urn:wisebed:ctitestbed:0x0cb1], Text [DROPPED_NB;0x1ccd;Time;75; Node ;0xcb1; has ;3; neighbors;stability;14], Level[DEBUG], Time[2011-03-02T12:48:55.100+02:00]
Source [urn:wisebed:ctitestbed:0x1ccd], Text [LOST_NB_BIDI;0xcb1;Time;75; Node ;0x1ccd; has ;3; neighbors;stability;9], Level[DEBUG], Time[2011-03-02T12:48:55.117+02:00]
Source [urn:wisebed:ctitestbed:0xddba], Text [NEW_NB_BIDI;0x14e7;Time;78; Node ;0xddba; has ;1; neighbors;stability;3], Level[DEBUG], Time[2011-03-02T12:48:58.082+02:00]
Source [urn:wisebed:ctitestbed:0x0cb1], Text [NEW_NB;0x1ccd;Time;81; Node ;0xcb1; has ;3; neighbors;stability;14], Level[DEBUG], Time[2011-03-02T12:49:01.107+02:00]
Source [urn:wisebed:ctitestbed:0x0cb1], Text [NEW_NB_BIDI;0x1ccd;Time;81; Node ;0xcb1; has ;3; neighbors;stability;14], Level[DEBUG], Time[2011-03-02T12:49:01.109+02:00]
